id,name,region,distance,climb_score,effort_count,start_latlng_lat,start_latlng_lon,end_latlng_lat,end_latlng_lon,average_grade,maximum_grade,total_elevation_gain,surface_type,polyline
10623309,Route66,['Koper'],5138.0,-0.295,5141,45.535955,13.944614,45.560965,13.891915,-1.0,6.1,29.5,unknown,uv|tGypbtAkBfDw@|Ak@bAeAzBwAxBqC|Ei@nAUv@I\K|AA|@MxROvPMbTCfAIfASfAYdAkBjFeDbI}BbGyDlJgEvKi@bBg@dB{FbTqEpO}@fDWr@[r@k@fAsGnJsFvIwHlL}D~GgFxH_EpGuA`CyDdGcCpDmApB}DpFeCrD{F~IwA`CoCbEiAjB
4151715,Crnotice straight,"['Hrpelje-Kozina', 'Koper']",1345.3,0.0876,14485,45.561585,13.892003,45.571813,13.901347,0.6,3.6,14.6,unknown,{vauG_hxsAqHoG{RiQmDwCoRaQq@g@_GoF
7973747,Presnica - Podgorje sterraton,"['Hrpelje-Kozina', 'Koper']",3419.6,-0.0253,5960,45.56579,13.941975,45.536093,13.944343,-0.1,5.2,25.3,unknown,eqbuGi`btAj@|@TTfAn@`ALbAAp@NN?l@I`DqAdBk@\Ez@QbBi@\@jCd@FCTc@\]XKf@_@nAg@|@i@n@m@bAu@`C_AjAs@bFiEv@g@h@Sn@S|@A`AF`A?bALvA\v@DrDCzAHfBPXAzAF~AFxBPjFPrDYxBU`@Il@UjCYN?tAJtABtDR|Ct@`BNzAAf@FVJXDX?`E`@fAAjBHvA@vBHx@J|@NhAH~@AbAJjA@pGc@
12999881,Smokvica cez brda,['Koper'],1066.9,1.2096,333,45.488155,13.886094,45.495491,13.888852,2.8,14.5,43.2,unknown,}kstGacwsA]P}@`@uAXcHn@o@NsAvA[H[AYCaC|@i@t@_H}Ao@UUOMMKWE{COkAiBsDU]m@]I]UeF
19947544,ritomece velike loce,['Hrpelje-Kozina'],1428.2,-0.357,54,45.558153,14.066635,45.564825,14.051527,-5.1,4.5,7.0,unknown,maauGmkztAK~@o@tCQdBW`Ae@rA_@t@i@bAOb@QfAIhAc@vCs@rBa@`BM^O\]h@Yt@]lBe@~ACNC`AG`@OXe@^a@d@KNUb@c@bBQlBe@tA_@vBs@nB{ArD_BhBmBrBq@`A_ArB}@`CKN
25329756,Juriš na Golac,['Hrpelje-Kozina'],3793.2,2.1912,415,45.540771,14.086695,45.515974,14.064963,2.2,9.3,99.6,unknown,yt}tGyh~tAfAWfD_ARCR?f@JPJPNZh@`@pAVn@PNPDT?j@Oj@Wh@[TKXEV?n@H~Bn@r@Lv@?bCKXBTFRLNPd@z@TZTPRFRCRKFIPc@Nu@X]RIN@hAhAVRPBZ@NELKPEb@CzAH|AAfAF\DVH\LVPp@x@fBrCj@n@z@zA\Z^h@\t@jAvBn@`At@|@xBxBr@^`AVf@Z`@h@r@nA`@d@h@XhAZXL\X\h@FFXLJ@`@G^Qp@g@f@MV@x@T\LPLNN^d@Vh@L\PrABr@Jh@Fl@EpA@bADd@BJ\\bAz@h@jADJ?PGv@?ZD`@F^FL\`@h@h@v@h@n@`AVRVFJ?`AIb@BVFx@f@b@Pn@J`@LhAp@`ATd@DTXLVP|@NxA\tBTnBdA~BTv@Fd@NtB@xAH|AZ~BzBhLRf@Vd@
27888782,Golac-Obrov spust,['Hrpelje-Kozina'],3722.0,-0.3979,462,45.515876,14.065035,45.540233,14.086955,-2.3,4.9,17.3,unknown,eyxtGmaztAk@aAMe@kA{Fw@uGQkFUaBSs@_AsBKc@kAeHKgAa@s@YKiAUk@Uw@a@{Ae@mAi@_@EmAP]K}@iA_BeAYc@Mq@OcBGm@Mk@Se@MO_Aw@[g@Ms@A[CuDScBSgAIWg@}@_@_@a@Yc@SQGc@G_@Jq@f@c@Xw@DQKo@o@QKcC}@OK_@]}A}BYS}Aa@OKcAaAcCkCcAsAyF{JwC{DQMg@U{@QgAGsEA_@Hc@BOC_@[{@aAQIOCa@N[`@]dA]`@a@B[Ss@mAQQQOk@QSAgCPo@@iEaAs@I]HsAp@oA\_@IKQ_AaCSYMMa@Sc@GQ?_ARiA\
13640488,Slavnik-Mala Vrata DH,['Hrpelje-Kozina'],2194.9,-3.8804,87,45.526142,13.987507,45.519932,14.011133,-8.9,21.7,43.6,unknown,kyztG{|jtAXQ`@iALUJKHOXeB^eA?q@BYDQj@iAb@oA~@yBBOPWN[F]ZmCPq@Hm@b@_C`@wAx@gBTyCp@sBd@aAF[JiANg@Hm@Tu@Fu@Aa@AQIMNu@HULIJ[b@o@P]`@aAh@iB^{@Tc@f@iBfAoFRuAVoA?i@Kg@Si@k@k@ECMQQe@KCUCUa@B]?OIKAWBS?k@@GTGh@_@?a@Is@DQDGXQFMXWR[JY@GEW@{@JUB_@JU@c@Hg@N[D[HOBQFkAFI@GAQK[H_@AMF[@s@DUCW@KPQJSLCVMFGDK?c@[_AEWBq@@yB
6209071,Prešnica Climb,['Hrpelje-Kozina'],3272.7,16.5288,164,45.56803,14.001431,45.553304,13.979556,7.1,27.6,232.8,unknown,e_cuG}smtARCPDr@jAxA~A\v@Z~@Bp@FTt@`A^h@Vn@ZjAV|BL^r@v@`@v@\\RJ^\rBrCj@HNLNTRf@L|@?pABVHNZVZRr@Pn@H`@?b@WRSLEX@TNXJtARn@D`@Hh@Pv@`@jDTPAvAFr@MvBw@REp@?d@MTFl@ZT@TGNKn@o@j@a@^OTRL@|@_@ZKPCd@FLA\J\BNGVQb@UL@RRZNRMj@k@d@YTAD@HHHVBt@Kx@@NBNHFFJZr@PnBT~@`@\XHNBNAXFl@f@t@v@Xh@Jr@LnB?~@Mv@@b@Ib@?TBl@?v@MjAEx@UrBFxAEz@?dBIhAA|@?pBFjA@pAOhB?~AEp@Br@E|A?|@Ed@Qj@Id@g@lAMRQh@Wd@EP@f@DTNTj@d@J\?HENo@lAD^Gp@
22061286,Zarečica OUT,['Ilirska Bistrica'],454.1,0.114,975,45.562701,14.225964,45.566005,14.223145,1.5,8.5,7.6,unknown,{}auGgoyuAyAj@sBRe@Nc@Vo@j@_@b@e@t@g@hA_@`Ag@bBUb@[X_@PUBm@@
